Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-156842,"Eukaryotic Translation Elongation",88,102,0.007023825919294863,1.2061869281154713E-9,1.7095749688111894E-6,9,9,6.703411291523909E-4,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000114942;ENSG00000156508;ENSG00000171863;ENSG00000177600;ENSG00000196205;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000165502;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000143947;ENSG00000108298;ENSG00000167658;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000104529;ENSG00000265681;ENSG00000197756;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000101210;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156913;R-HSA-156923;R-HSA-156907;R-HSA-156910;R-HSA-156908;R-HSA-156909"
R-HSA-72689,"Formation of a pool of free 40S subunits",90,106,0.0072992700729927005,1.6667816016280312E-9,1.7095749688111894E-6,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000171863;ENSG00000177600;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000165502;ENSG00000147677;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000175390;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000130811;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000104408;ENSG00000265681;ENSG00000197756;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000149100;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-72673;R-HSA-72676"
R-HSA-156902,"Peptide chain elongation",84,97,0.006679520727172566,2.391013942393272E-9,1.7095749688111894E-6,5,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000156508;ENSG00000171863;ENSG00000177600;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000165502;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000143947;ENSG00000108298;ENSG00000167658;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000265681;ENSG00000197756;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156930;R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907"
R-HSA-975956,"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",85,101,0.006954964880870404,6.803333008065238E-9,3.6465864923229674E-6,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000114503;ENSG00000171863;ENSG00000177600;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000070756;ENSG00000165502;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000265681;ENSG00000197756;ENSG00000005007;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-927789"
R-HSA-1236977,"Endosomal/Vacuolar pathway",73,82,0.005646605150805674,8.628950554090409E-9,3.7018197877047854E-6,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000204525;ENSG00000204642;ENSG00000206503;ENSG00000234745;ENSG00000135047","","R-HSA-1236964;R-HSA-1236948;R-HSA-1236954;R-HSA-1236943"
R-HSA-156827,"L13a-mediated translational silencing of Ceruloplasmin expression",95,120,0.008263324610935133,1.651192127472001E-8,5.894755895075043E-6,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000171863;ENSG00000177600;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000106682;ENSG00000070756;ENSG00000165502;ENSG00000147677;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000156976;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000063046;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000175390;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000130811;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000104408;ENSG00000265681;ENSG00000197756;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000130741;ENSG00000198034;ENSG00000149100;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-156832;R-HSA-156823;R-HSA-156826"
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",94,120,0.008263324610935133,3.147475957643309E-8,9.631276430388525E-6,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000171863;ENSG00000177600;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000106682;ENSG00000165502;ENSG00000147677;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000156976;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000063046;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000175390;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000130811;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000104408;ENSG00000265681;ENSG00000197756;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000130741;ENSG00000198034;ENSG00000149100;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-72613,"Eukaryotic Translation Initiation",99,130,0.008951934995179727,5.106793687925659E-8,1.2154168977263069E-5,21,21,0.0015641293013555788,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000171863;ENSG00000177600;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000106682;ENSG00000070756;ENSG00000165502;ENSG00000147677;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000156976;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000187840;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000063046;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000175390;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000145191;ENSG00000130811;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000104408;ENSG00000265681;ENSG00000197756;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000130741;ENSG00000198034;ENSG00000149100;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000198755;ENSG00000111361;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000119718;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72663;R-HSA-72631;R-HSA-156826;R-HSA-72697;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72737,"Cap-dependent Translation Initiation",99,130,0.008951934995179727,5.106793687925659E-8,1.2154168977263069E-5,18,18,0.0013406822583047818,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000171863;ENSG00000177600;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000106682;ENSG00000070756;ENSG00000165502;ENSG00000147677;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000156976;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000187840;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000063046;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000175390;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000145191;ENSG00000130811;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000104408;ENSG00000265681;ENSG00000197756;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000100129;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000130741;ENSG00000198034;ENSG00000149100;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000198755;ENSG00000111361;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000084623;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000119718;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000100353;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-72663;R-HSA-72631;R-HSA-72697;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72764,"Eukaryotic Translation Termination",83,106,0.0072992700729927005,1.9560860486933507E-7,4.1860241442037704E-5,4,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000108107;ENSG00000213741;ENSG00000110700;ENSG00000142937;ENSG00000171863;ENSG00000177600;ENSG00000142541;ENSG00000171858;ENSG00000170889;ENSG00000105193;ENSG00000109475;ENSG00000163923;ENSG00000167526;ENSG00000165502;ENSG00000125691;ENSG00000138326;ENSG00000241343;ENSG00000115268;ENSG00000136942;ENSG00000149806;ENSG00000233927;ENSG00000197958;ENSG00000168028;ENSG00000144713;ENSG00000231500;ENSG00000166441;ENSG00000221983;ENSG00000143947;ENSG00000108298;ENSG00000162244;ENSG00000164587;ENSG00000122026;ENSG00000142534;ENSG00000182899;ENSG00000149273;ENSG00000131469;ENSG00000198242;ENSG00000145592;ENSG00000112306;ENSG00000134419;ENSG00000265681;ENSG00000197756;ENSG00000130255;ENSG00000163584;ENSG00000198918;ENSG00000229117;ENSG00000174748;ENSG00000089009;ENSG00000156482;ENSG00000063177;ENSG00000186468;ENSG00000140988;ENSG00000172809;ENSG00000105372;ENSG00000148303;ENSG00000188846;ENSG00000137818;ENSG00000198034;ENSG00000118181;ENSG00000008988;ENSG00000083845;ENSG00000174444;ENSG00000173113;ENSG00000198755;ENSG00000177954;ENSG00000071082;ENSG00000145425;ENSG00000147604;ENSG00000100316;ENSG00000114391;ENSG00000185088;ENSG00000116251;ENSG00000122406;ENSG00000161970;ENSG00000089157;ENSG00000147403;ENSG00000182774;ENSG00000142676;ENSG00000161016;ENSG00000105640","","R-HSA-141671;R-HSA-141691;R-HSA-141673;R-HSA-6800138"
