Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8948216,"Collagen chain trimerization",25,44,0.0030298856906762154,0.0545216546357884,0.9875736862473046,18,28,0.0020855057351407717,9606,Homo sapiens,"ENSG00000204291;ENSG00000108821;ENSG00000111799;ENSG00000130635;ENSG00000172752;ENSG00000060718;ENSG00000171812;ENSG00000187498;ENSG00000164692;ENSG00000187955;ENSG00000215018;ENSG00000197565;ENSG00000139219;ENSG00000206384;ENSG00000084636;ENSG00000204262;ENSG00000124749;ENSG00000144810;ENSG00000188153;ENSG00000168542;ENSG00000204248;ENSG00000163359;ENSG00000101203;ENSG00000092758;ENSG00000188517","","R-HSA-8944232;R-HSA-8944265;R-HSA-8944266;R-HSA-8944236;R-HSA-8944227;R-HSA-8944229;R-HSA-8944263;R-HSA-8944216;R-HSA-8944250;R-HSA-8944218;R-HSA-8944219;R-HSA-8944223;R-HSA-8944240;R-HSA-8944214;R-HSA-8944246;R-HSA-8944215;R-HSA-2002401;R-HSA-8944247"
R-HSA-426496,"Post-transcriptional silencing by small RNAs",6,7,4.8202726897121607E-4,0.06448553440001059,0.9875736862473046,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000078687;ENSG00000100354;ENSG00000126070;ENSG00000134698;ENSG00000123908","","R-HSA-426522;R-HSA-426520;R-HSA-426489"
R-HSA-447041,"CHL1 interactions",7,10,6.886103842445945E-4,0.10961439888675195,0.9875736862473046,5,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000143127;ENSG00000150093;ENSG00000029534;ENSG00000099250;ENSG00000134115;ENSG00000109971;ENSG00000213949","","R-HSA-443782;R-HSA-445088;R-HSA-445087;R-HSA-447034;R-HSA-445083"
R-HSA-8865999,"MET activates PTPN11",4,5,3.4430519212229723E-4,0.1419890338511608,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000177885;ENSG00000105976;ENSG00000019991;ENSG00000179295","","R-HSA-8865994"
R-HSA-3656534,"Loss of Function of TGFBR1 in Cancer",5,7,4.8202726897121607E-4,0.15124427158571108,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000106799;ENSG00000088832;ENSG00000175387;ENSG00000157077;ENSG00000163513","","R-HSA-3656382;R-HSA-3656523"
R-HSA-2022923,"Dermatan sulfate biosynthesis",8,13,8.951934995179727E-4,0.1536002976899562,0.9875736862473046,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000038427;ENSG00000182492;ENSG00000114646;ENSG00000171451;ENSG00000111962;ENSG00000111817;ENSG00000011465;ENSG00000130287","","R-HSA-2022063;R-HSA-2022061;R-HSA-2022052;R-HSA-2022065"
R-HSA-426486,"Small interfering RNA (siRNA) biogenesis",6,9,6.19749345820135E-4,0.15464598959982,0.9875736862473046,5,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000116918;ENSG00000100697;ENSG00000126070;ENSG00000134698;ENSG00000123908","","R-HSA-9023912;R-HSA-2106625;R-HSA-426464;R-HSA-2106615;R-HSA-9023909"
R-HSA-159227,"Transport of the SLBP independent Mature mRNA",20,39,0.002685580498553918,0.15819254985021036,0.9875736862473046,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000136937;ENSG00000196313;ENSG00000136243;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000183684;ENSG00000185823","","R-HSA-158481;R-HSA-158484;R-HSA-111439"
R-HSA-159230,"Transport of the SLBP Dependant Mature mRNA",20,40,0.002754441536978378,0.18481308134096852,0.9875736862473046,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000136937;ENSG00000196313;ENSG00000136243;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000183684;ENSG00000185823","","R-HSA-77587;R-HSA-159046;R-HSA-159050"
R-HSA-418457,"cGMP effects",10,18,0.00123949869164027,0.18840403697969121,0.9875736862473046,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000115252;ENSG00000156113;ENSG00000197584;ENSG00000185532;ENSG00000171121;ENSG00000150995;ENSG00000138735;ENSG00000138669;ENSG00000128655;ENSG00000135643","","R-HSA-418549;R-HSA-418451;R-HSA-418442;R-HSA-418456"
R-HSA-77042,"Formation of editosomes by ADAR proteins",2,2,1.377220768489189E-4,0.19051984801748667,0.9875736862473046,4,4,2.9792939073439596E-4,9606,Homo sapiens,"ENSG00000197381;ENSG00000160710","","R-HSA-75090;R-HSA-111237;R-HSA-111238;R-HSA-77613"
R-HSA-9672393,"Defective F8 binding to von Willebrand factor",2,2,1.377220768489189E-4,0.19051984801748667,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000185010;ENSG00000110799","","R-HSA-9665809"
R-HSA-5619107,"Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)",18,36,0.00247899738328054,0.19961962915332554,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000047410;ENSG00000113569;ENSG00000196313;ENSG00000136243;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000185823","","R-HSA-5661474"
R-HSA-3232142,"SUMOylation of ubiquitinylation proteins",21,43,0.002961024652251756,0.20537843459952287,0.9875736862473046,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000110713;ENSG00000153201;ENSG00000108559;ENSG00000125450;ENSG00000135679;ENSG00000047410;ENSG00000113569;ENSG00000196313;ENSG00000136243;ENSG00000078043;ENSG00000085415;ENSG00000163002;ENSG00000124789;ENSG00000134086;ENSG00000030066;ENSG00000102900;ENSG00000272391;ENSG00000095319;ENSG00000185823","","R-HSA-5228523;R-HSA-4551721;R-HSA-3000434"
R-HSA-3595177,"Defective CHSY1 causes TPBS",6,10,6.886103842445945E-4,0.2133319252478757,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000038427;ENSG00000131873;ENSG00000182492;ENSG00000114646;ENSG00000011465;ENSG00000130287","","R-HSA-3595178;R-HSA-3595176"
R-HSA-9022707,"MECP2 regulates transcription factors",6,10,6.886103842445945E-4,0.2133319252478757,0.9875736862473046,6,8,5.958587814687919E-4,9606,Homo sapiens,"ENSG00000132170;ENSG00000081189;ENSG00000118260","","R-HSA-9021851;R-HSA-9021949;R-HSA-9021950;R-HSA-9017441;R-HSA-9021847;R-HSA-9017447"
R-HSA-3656535,"TGFBR1 LBD Mutants in Cancer",3,4,2.754441536978378E-4,0.2156452990856691,0.9875736862473046,1,1,7.448234768359899E-5,9606,Homo sapiens,"ENSG00000106799;ENSG00000088832;ENSG00000163513","","R-HSA-3656382"
R-HSA-8874081,"MET activates PTK2 signaling",16,32,0.0022035532295827023,0.21617066551119113,0.9875736862473046,5,5,3.7241173841799495E-4,9606,Homo sapiens,"ENSG00000108821;ENSG00000150093;ENSG00000130635;ENSG00000105976;ENSG00000112769;ENSG00000091136;ENSG00000019991;ENSG00000060718;ENSG00000139219;ENSG00000115414;ENSG00000196569;ENSG00000204262;ENSG00000135862;ENSG00000168542;ENSG00000204248;ENSG00000164692","","R-HSA-8874083;R-HSA-8874082;R-HSA-8874080;R-HSA-8874079;R-HSA-8874078"
R-HSA-2142850,"Hyaluronan biosynthesis and export",4,6,4.131662305467566E-4,0.22006007885474033,0.9875736862473046,3,3,2.2344704305079697E-4,9606,Homo sapiens,"ENSG00000103044;ENSG00000114770;ENSG00000103888;ENSG00000170961","","R-HSA-2160851;R-HSA-5693356;R-HSA-2142859"
R-HSA-8941333,"RUNX2 regulates genes involved in differentiation of myeloid cells",4,6,4.131662305467566E-4,0.22006007885474033,0.9875736862473046,2,2,1.4896469536719798E-4,9606,Homo sapiens,"ENSG00000124813;ENSG00000067955;ENSG00000159216","","R-HSA-8938382;R-HSA-8938371"
